"CODE","NAME","DATE","mean","median","sd","min","max"
270920,"Traipu","2016-10-31",0.1126,0.104,0.0427,0.044,0.38
270930,"União dos Palmares","2016-10-31",0.3884,0.356,0.1804,0.108,0.948
270940,"Viçosa","2016-10-31",0.4159,0.408,0.0913,0.164,0.908
280010,"Amparo de São Francisco","2016-10-31",0.1287,0.124,0.0314,0.072,0.228
280020,"Aquidabã","2016-10-31",0.1641,0.152,0.0564,0.056,0.472
280030,"Aracaju","2016-10-31",0.3743,0.4,0.148,0.024,0.864
280040,"Arauá","2016-10-31",0.3872,0.384,0.0559,0.26,0.712
280050,"Areia Branca","2016-10-31",0.4701,0.458,0.11,0.236,0.864
280060,"Barra dos Coqueiros","2016-10-31",0.46,0.456,0.1194,0.12,0.896
280067,"Boquim","2016-10-31",0.3344,0.336,0.0674,0.188,0.772
280070,"Brejo Grande","2016-10-31",0.4141,0.392,0.1465,0.044,0.9
280100,"Campo do Brito","2016-10-31",0.2748,0.264,0.0763,0.092,0.496
280110,"Canhoba","2016-10-31",0.1156,0.108,0.0322,0.048,0.24
280120,"Canindé de São Francisco","2016-10-31",0.1106,0.1,0.0525,0.016,0.416
280130,"Capela","2016-10-31",0.2972,0.284,0.105,0.08,0.708
280140,"Carira","2016-10-31",0.0787,0.072,0.0293,0.036,0.428
280150,"Carmópolis","2016-10-31",0.4482,0.45,0.0716,0.292,0.728
280160,"Cedro de São João","2016-10-31",0.1646,0.156,0.0451,0.08,0.348
280170,"Cristinápolis","2016-10-31",0.4244,0.42,0.0988,0.18,0.916
280190,"Cumbe","2016-10-31",0.1304,0.128,0.0469,0.032,0.26
280200,"Divina Pastora","2016-10-31",0.4146,0.416,0.0658,0.248,0.72
280210,"Estância","2016-10-31",0.4504,0.436,0.1159,0.012,0.96
280220,"Feira Nova","2016-10-31",0.0809,0.076,0.0256,0.032,0.184
280230,"Frei Paulo","2016-10-31",0.1163,0.108,0.0527,0.036,0.428
280240,"Gararu","2016-10-31",0.0931,0.092,0.0268,0.04,0.232
280250,"General Maynard","2016-10-31",0.4408,0.444,0.0434,0.34,0.516
280260,"Gracho Cardoso","2016-10-31",0.0922,0.084,0.0318,0.032,0.216
280270,"Ilha das Flores","2016-10-31",0.3938,0.364,0.1011,0.232,0.704
280280,"Indiaroba","2016-10-31",0.5329,0.524,0.1235,0,0.916
280290,"Itabaiana","2016-10-31",0.2917,0.26,0.107,0.092,0.864
280300,"Itabaianinha","2016-10-31",0.2799,0.276,0.0946,0.072,0.644
280310,"Itabi","2016-10-31",0.091,0.088,0.0239,0.044,0.188
280320,"Itaporanga d'Ajuda","2016-10-31",0.4265,0.424,0.0933,0.068,0.96
280330,"Japaratuba","2016-10-31",0.3472,0.356,0.1057,0.08,0.728
280340,"Japoatã","2016-10-31",0.2972,0.304,0.1262,0.06,0.652
280350,"Lagarto","2016-10-31",0.2695,0.26,0.087,0.092,0.608
280360,"Laranjeiras","2016-10-31",0.4721,0.47,0.0958,0.164,0.856
280370,"Macambira","2016-10-31",0.1741,0.16,0.0577,0.072,0.328
280380,"Malhada dos Bois","2016-10-31",0.1917,0.18,0.0584,0.104,0.472
280390,"Malhador","2016-10-31",0.4314,0.432,0.0555,0.272,0.62
280400,"Maruim","2016-10-31",0.4328,0.432,0.0748,0.248,0.72
280410,"Moita Bonita","2016-10-31",0.3242,0.316,0.0861,0.172,0.536
280420,"Monte Alegre de Sergipe","2016-10-31",0.079,0.076,0.0223,0.036,0.18
280430,"Muribeca","2016-10-31",0.2065,0.198,0.0614,0.092,0.472
280440,"Neópolis","2016-10-31",0.3578,0.376,0.1165,0.06,0.756
